Time,TimeInterval,Voltage,FunctionGenerator,Oscilloscope,FreqRange
2023-06-16 18:12:41.861738,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:43.686431,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:45.482913,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:47.266675,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:49.051816,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:50.847208,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:52.643816,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:54.436804,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:56.211182,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:58.000509,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
2023-06-16 18:12:59.794300,1,11,USB0::0x0D4A::0x000D::9122074::INSTR,USB0::0x0957::0x1798::MY61410321::INSTR,"[40000.0, 60000.0]"
